acct,utc_date,num_courses_visited,total_minutes_visited,lessons_completed,projects_completed
0,2018-03-19,0,0,0,0
0,2018-03-20,0,0,0,0
0,2018-03-21,0,0,0,0
0,2018-03-22,0,0,0,0
0,2018-03-23,1,35.6879838333,0,0
0,2018-03-24,1,142.7344815,1,0
0,2018-03-25,1,175.6848335,1,0
0,2018-03-26,1,50.231326,1,0
0,2018-03-27,0,0,0,0
0,2018-03-28,0,0,0,0
0,2018-03-29,0,0,0,0
0,2018-03-30,0,0,0,0
0,2018-03-31,1,173.54588,1,0
0,2018-04-01,1,214.837217833,3,0
0,2018-04-02,0,0,0,0
0,2018-04-03,1,59.0732133333,1,0
0,2018-04-04,1,35.71483,0,0
0,2018-04-05,1,103.655366,1,0
0,2018-04-06,1,171.518927,1,0
0,2018-04-07,1,14.3998386667,0,0
0,2018-04-08,2,115.690604167,2,0
0,2018-04-09,1,235.687231833,2,0
0,2018-04-10,0,0,0,0
0,2018-04-11,1,41.9540113333,0,0
0,2018-04-12,1,17.4156996667,0,0
0,2018-04-13,1,10.4754313333,0,0
0,2018-04-14,1,37.0426483333,0,0
0,2018-04-15,0,0,0,0
0,2018-04-16,0,0,0,0
0,2018-04-17,0,0,0,0
0,2018-04-18,0,0,0,0
0,2018-04-19,0,0,0,0
0,2018-04-20,1,25.2435245,0,0
0,2018-04-21,1,7.10464066667,0,0
0,2018-04-22,0,0,0,0
0,2018-04-23,0,0,0,1
0,2018-04-24,0,0,0,0
0,2018-04-25,0,0,0,0
0,2018-04-26,0,0,0,0
0,2018-04-27,0,0,0,0
0,2018-04-28,1,3.13019766667,0,0
0,2018-04-29,0,0,0,0
0,2018-04-30,0,0,0,0
0,2018-05-01,0,0,0,0
0,2018-05-02,0,0,0,0
0,2018-05-03,0,0,0,0
0,2018-05-04,0,0,0,0
0,2018-05-05,0,0,0,0
0,2018-05-06,0,0,0,0
0,2018-05-07,0,0,0,0
0,2018-05-08,3,121.301107833,1,0
0,2018-05-09,1,78.9664818333,0,0
0,2018-05-10,2,39.1185718333,0,0
0,2018-05-11,1,130.237900333,0,0
0,2018-05-12,1,8.6603245,0,0
0,2018-05-13,0,0,0,0
0,2018-05-14,0,0,0,0
0,2018-05-15,0,0,0,0
0,2018-05-16,0,0,0,0
0,2018-05-17,0,0,0,0
0,2018-05-18,0,0,0,0
0,2018-05-19,0,0,0,0
0,2018-05-20,0,0,0,0
0,2018-05-21,0,0,0,0
0,2018-05-22,0,0,0,0
0,2018-05-23,0,0,0,0
0,2018-05-24,0,0,0,0
0,2018-05-25,0,0,0,0
0,2018-05-26,0,0,0,0
0,2018-05-27,0,0,0,0
0,2018-05-28,0,0,0,0
0,2018-05-29,0,0,0,0
0,2018-05-30,0,0,0,0
0,2018-05-31,0,0,0,0
0,2018-06-01,0,0,0,0
0,2018-06-02,0,0,0,0
0,2018-06-03,0,0,0,0
0,2018-06-04,0,0,0,0
0,2018-06-05,0,0,0,0
0,2018-06-06,0,0,0,0
0,2018-06-07,0,0,0,0
0,2018-06-08,0,0,0,0
0,2018-06-09,0,0,0,0
0,2018-06-10,0,0,0,0
0,2018-06-11,0,0,0,0
0,2018-06-12,1,12.2313653333,0,0
0,2018-06-13,0,0,0,0
0,2018-06-14,0,0,0,0
0,2018-06-15,0,0,0,0
0,2018-06-16,0,0,0,0
0,2018-06-17,0,0,0,0
0,2018-06-18,1,75.9321218333,1,0
0,2018-06-19,1,72.5781645,1,0
0,2018-06-20,0,0,0,0
0,2018-06-21,0,0,0,0
0,2018-06-22,0,0,0,0
0,2018-06-23,0,0,0,0
0,2018-06-24,1,94.7982856667,0,0
0,2018-06-25,0,0,0,0
0,2018-06-26,1,50.7091576667,0,0
0,2018-06-27,0,0,0,0
0,2018-06-28,1,104.3308655,0,0
0,2018-06-29,1,211.402388167,2,0
0,2018-06-30,1,13.5055071667,0,0
0,2018-07-01,0,0,0,0
0,2018-07-02,0,0,0,0
0,2018-07-03,0,0,0,0
0,2018-07-04,0,0,0,0
0,2018-07-05,0,0,0,0
0,2018-07-06,0,0,0,0
0,2018-07-07,0,0,0,0
0,2018-07-08,0,0,0,0
0,2018-07-09,0,0,0,0
0,2018-07-10,0,0,0,0
0,2018-07-11,0,0,0,0
0,2018-07-12,0,0,0,0
0,2018-07-13,0,0,0,0
0,2018-07-14,0,0,0,0
0,2018-07-15,0,0,0,0
0,2018-07-16,0,0,0,0
0,2018-07-17,0,0,0,0
0,2018-07-18,0,0,0,0
0,2018-07-19,0,0,0,0
0,2018-07-20,0,0,0,0
0,2018-07-21,0,0,0,0
0,2018-07-22,0,0,0,0
0,2018-07-23,0,0,0,0
0,2018-07-24,0,0,0,0
0,2018-07-25,0,0,0,0
0,2018-07-27,0,0,0,1
0,2018-07-28,0,0,0,0
0,2018-07-29,0,0,0,0
0,2018-07-30,0,0,0,0
0,2018-07-31,0,0,0,0
0,2018-08-01,0,0,0,0
0,2018-08-02,0,0,0,0
0,2018-08-03,0,0,0,0
0,2018-08-04,0,0,0,0
0,2018-08-05,0,0,0,0
0,2018-08-06,0,0,0,0
0,2018-08-07,0,0,0,0
0,2018-08-08,0,0,0,0
0,2018-08-09,0,0,0,0
0,2018-08-10,0,0,0,0
0,2018-08-11,0,0,0,0
0,2018-08-12,0,0,0,0
0,2018-08-13,0,0,0,0
0,2018-08-14,1,4.72941616667,0,0
0,2018-08-15,0,0,0,0
0,2018-08-16,0,0,0,0
0,2018-08-17,0,0,0,0
0,2018-08-18,0,0,0,0
0,2018-08-19,0,0,0,0
0,2018-08-20,0,0,0,0
0,2018-08-21,0,0,0,0
0,2018-08-22,0,0,0,0
0,2018-08-23,0,0,0,0
0,2018-08-24,0,0,0,0
0,2018-08-25,0,0,0,0
0,2018-08-26,1,14.9694161667,0,0
0,2018-08-27,0,0,0,0
1,2018-05-06,1,9.640248,0,0
1,2018-05-07,0,0,0,0
1,2018-05-08,0,0,0,0
1,2018-05-09,0,0,0,0
1,2018-05-10,0,0,0,0
1,2018-05-11,0,0,0,0
1,2018-05-12,1,8.93613666667,0,0
1,2018-05-13,2,202.4374995,2,0
1,2018-05-14,1,300.820181667,2,0
1,2018-05-15,1,144.223258333,0,0
1,2018-05-16,0,0,0,0
1,2018-05-17,0,0,0,0
1,2018-05-18,1,250.7725985,2,0
1,2018-05-19,2,343.247496167,3,0
1,2018-05-20,0,0,0,0
1,2018-05-21,1,63.902367,0,0
1,2018-05-22,1,189.458624167,0,0
1,2018-05-23,0,0,0,0
1,2018-05-24,0,0,0,0
1,2018-05-25,0,0,0,0
1,2018-05-26,3,151.374713167,0,0
1,2018-05-27,1,125.0190875,0,0
1,2018-05-28,2,187.35692,0,0
1,2018-05-29,1,88.849618,0,0
1,2018-05-30,2,18.118867,0,0
1,2018-05-31,1,26.535007,1,0
1,2018-06-01,0,0,0,0
1,2018-06-02,1,110.091891333,1,0
1,2018-06-03,0,0,0,0
1,2018-06-04,0,0,0,0
1,2018-06-05,1,195.111528,1,0
1,2018-06-06,1,62.8241491667,1,0
1,2018-06-07,0,0,0,0
1,2018-06-08,2,130.313695834,1,0
1,2018-06-09,1,211.139601333,2,0
1,2018-06-10,1,71.3947381667,1,0
1,2018-06-11,1,159.567278667,0,0
1,2018-06-12,1,9.3085855,0,0
1,2018-06-13,0,0,0,0
1,2018-06-14,0,0,0,0
1,2018-06-15,0,0,0,0
1,2018-06-16,0,0,0,0
1,2018-06-17,0,0,0,0
1,2018-06-18,0,0,0,0
1,2018-06-19,0,0,0,0
1,2018-06-20,0,0,0,0
1,2018-06-21,0,0,0,0
1,2018-06-22,0,0,0,0
1,2018-06-23,0,0,0,0
1,2018-06-24,0,0,0,0
1,2018-06-25,1,9.0560495,0,0
1,2018-06-26,0,0,0,0
1,2018-06-27,0,0,0,0
1,2018-06-28,0,0,0,0
1,2018-06-29,0,0,0,0
1,2018-06-30,0,0,0,0
1,2018-07-01,0,0,0,0
1,2018-07-02,0,0,0,0
1,2018-07-03,0,0,0,0
1,2018-07-04,0,0,0,0
1,2018-07-05,0,0,0,0
1,2018-07-06,0,0,0,0
1,2018-07-07,0,0,0,0
1,2018-07-08,0,0,0,0
1,2018-07-09,2,20.7461346666,0,0
1,2018-07-10,6,653.528880334,4,0
1,2018-07-11,2,32.816762,0,0
1,2018-07-12,1,2.61930883333,0,0
1,2018-07-13,0,0,0,0
1,2018-07-14,0,0,0,0
1,2018-07-15,0,0,0,0
1,2018-07-16,0,0,0,0
1,2018-07-17,0,0,0,0
1,2018-07-18,0,0,0,0
1,2018-07-19,0,0,0,0
1,2018-07-20,0,0,0,0
1,2018-07-21,3,263.1108015,1,0
1,2018-07-22,1,7.6601485,0,0
1,2018-07-23,0,0,0,0
1,2018-07-24,1,101.130742167,1,0
1,2018-07-25,0,0,0,0
1,2018-07-27,0,0,0,0
1,2018-07-28,0,0,0,0
1,2018-07-29,0,0,0,0
1,2018-07-30,0,0,0,0
1,2018-07-31,0,0,0,0
1,2018-08-01,0,0,0,0
1,2018-08-02,0,0,0,0
1,2018-08-03,0,0,0,0
1,2018-08-04,0,0,0,0
1,2018-08-05,0,0,0,0
1,2018-08-06,0,0,0,0
1,2018-08-07,0,0,0,0
1,2018-08-08,0,0,0,0
1,2018-08-09,0,0,0,0
1,2018-08-10,0,0,0,0
1,2018-08-11,0,0,0,0
1,2018-08-12,0,0,0,0
1,2018-08-13,0,0,0,0
1,2018-08-14,0,0,0,0
1,2018-08-15,0,0,0,0
1,2018-08-16,0,0,0,0
1,2018-08-17,0,0,0,0
1,2018-08-18,0,0,0,0
1,2018-08-19,0,0,0,0
1,2018-08-20,1,18.9437748333,0,0
1,2018-08-21,1,6.74884083333,0,0
1,2018-08-22,0,0,0,0
1,2018-08-23,0,0,0,0
1,2018-08-24,1,5.268997,0,0
1,2018-08-25,1,30.1021908333,0,0
1,2018-08-26,1,84.0677541667,0,0
1,2018-08-27,0,0,0,0
2,2018-06-08,0,0,0,0
2,2018-06-09,0,0,0,0
2,2018-06-10,0,0,0,0
2,2018-06-11,0,0,0,0
2,2018-06-12,0,0,0,0
2,2018-06-13,0,0,0,0
2,2018-06-14,0,0,0,0
2,2018-06-15,0,0,0,0
2,2018-06-16,0,0,0,0
2,2018-06-17,0,0,0,0
2,2018-06-18,0,0,0,0
2,2018-06-19,0,0,0,0
2,2018-06-20,0,0,0,0
2,2018-06-21,0,0,0,0
2,2018-06-22,0,0,0,0
2,2018-06-23,0,0,0,0
2,2018-06-24,0,0,0,0
2,2018-06-25,0,0,0,0
2,2018-06-26,0,0,0,0
2,2018-06-27,0,0,0,0
2,2018-06-28,0,0,0,0
2,2018-06-29,0,0,0,0
2,2018-06-30,0,0,0,0
2,2018-07-01,0,0,0,0
2,2018-07-02,0,0,0,0
2,2018-07-03,0,0,0,0
2,2018-07-04,0,0,0,0
2,2018-07-05,2,52.4235215,0,0
2,2018-07-06,1,40.3296033333,0,0
2,2018-07-07,2,72.7622655,0,0
2,2018-07-08,0,0,0,0
2,2018-07-09,0,0,0,0
2,2018-07-10,4,529.154667667,2,0
2,2018-07-11,2,562.204165334,2,0
2,2018-07-12,0,0,0,0
2,2018-07-13,0,0,0,0
2,2018-07-14,1,35.363993,0,0
2,2018-07-15,0,0,0,0
2,2018-07-16,0,0,0,0
2,2018-07-17,1,110.518314667,0,0
2,2018-07-18,1,3.82492033333,0,0
2,2018-07-19,2,237.421044833,1,0
2,2018-07-20,1,257.467808667,1,0
2,2018-07-21,0,0,0,0
2,2018-07-22,0,0,0,0
2,2018-07-23,0,0,0,0
2,2018-07-24,1,5.9314785,0,0
2,2018-07-25,1,48.0690098333,0,0
2,2018-07-27,1,151.711262167,1,0
2,2018-07-28,0,0,0,0
2,2018-07-29,1,33.0220853333,0,0
2,2018-07-30,0,0,0,0
2,2018-07-31,3,118.455222167,1,0
2,2018-08-01,0,0,0,0
2,2018-08-02,0,0,0,0
2,2018-08-03,0,0,0,0
2,2018-08-04,1,11.1466443333,0,0
2,2018-08-05,0,0,0,0
2,2018-08-06,0,0,0,0
2,2018-08-07,1,3.6482675,0,0
2,2018-08-08,0,0,0,0
2,2018-08-09,0,0,0,0
2,2018-08-10,0,0,0,0
2,2018-08-11,0,0,0,0
2,2018-08-12,0,0,0,0
2,2018-08-13,0,0,0,0
2,2018-08-14,0,0,0,0
2,2018-08-15,0,0,0,0
2,2018-08-16,2,20.898717,0,0
2,2018-08-17,1,80.4755913333,0,0
2,2018-08-18,1,126.233124,0,0
2,2018-08-19,1,71.506794,0,0
2,2018-08-20,1,33.092238,0,0
2,2018-08-21,1,42.4336161667,0,0
2,2018-08-22,1,12.3360781667,0,0
2,2018-08-23,1,5.70243616667,0,0
2,2018-08-24,1,23.6492425,0,0
2,2018-08-25,1,70.677827,0,0
2,2018-08-26,1,161.6815685,0,0
2,2018-08-27,1,55.2885371667,1,0
3,2017-11-10,2,136.1835995,0,0
3,2017-11-11,1,11.0550435,0,0
3,2017-11-12,1,34.615231,1,0
3,2017-11-13,1,406.333269167,3,0
3,2017-11-14,2,91.475528,0,0
3,2017-11-15,1,148.244103333,2,0
3,2017-11-16,0,0,0,0
3,2017-11-17,1,195.651200167,2,0
3,2017-11-18,2,163.3229915,1,0
3,2017-11-19,0,0,0,0
3,2017-11-20,2,54.3044758333,0,0
3,2017-11-21,2,64.1561893334,0,0
3,2017-11-22,1,35.8265726667,0,0
3,2017-11-23,0,0,0,0
3,2017-11-24,0,0,0,1
3,2017-11-25,1,109.8568135,3,0
3,2017-11-26,1,86.5877778333,1,0
3,2017-11-27,0,0,0,0
3,2017-11-28,0,0,0,0
3,2017-11-29,0,0,0,0
3,2017-11-30,0,0,0,0
3,2017-12-01,0,0,0,0
3,2017-12-02,1,136.182332,1,0
3,2017-12-03,0,0,0,0
3,2017-12-04,0,0,0,0
3,2017-12-05,1,44.7390748333,0,0
3,2017-12-06,0,0,0,0
3,2017-12-07,0,0,0,0
3,2017-12-08,0,0,0,0
3,2017-12-09,1,46.8183876667,1,0
3,2017-12-10,0,0,0,0
3,2017-12-11,1,128.982119167,0,0
3,2017-12-12,0,0,0,0
3,2017-12-13,0,0,0,0
3,2017-12-14,1,101.5958455,2,0
3,2017-12-15,0,0,0,0
3,2017-12-16,0,0,0,0
3,2017-12-17,1,71.521254,0,0
3,2017-12-18,0,0,0,0
3,2017-12-19,0,0,0,0
3,2017-12-20,0,0,0,0
3,2017-12-21,1,174.8517835,3,0
3,2017-12-22,0,0,0,0
3,2017-12-23,0,0,0,0
3,2017-12-24,0,0,0,0
3,2017-12-25,0,0,0,0
3,2017-12-26,0,0,0,0
3,2017-12-27,1,5.7076545,0,0
3,2017-12-28,1,62.287003,0,0
3,2017-12-29,0,0,0,0
3,2017-12-30,0,0,0,0
3,2017-12-31,0,0,0,0
3,2018-01-01,0,0,0,0
3,2018-01-02,0,0,0,0
3,2018-01-03,0,0,0,0
3,2018-01-04,0,0,0,0
3,2018-01-05,0,0,0,0
3,2018-01-06,0,0,0,0
3,2018-01-07,0,0,0,0
3,2018-01-08,0,0,0,0
3,2018-01-09,0,0,0,0
3,2018-01-10,1,26.8374761667,0,0
3,2018-01-11,0,0,0,0
3,2018-01-12,0,0,0,0
3,2018-01-13,0,0,0,0
3,2018-01-14,0,0,0,0
3,2018-01-15,0,0,0,0
3,2018-01-16,0,0,0,0
3,2018-01-17,0,0,0,0
3,2018-01-18,0,0,0,0
3,2018-01-19,1,58.3618121667,1,0
3,2018-01-20,0,0,0,0
3,2018-01-21,0,0,0,0
3,2018-01-22,0,0,0,0
3,2018-01-23,0,0,0,0
3,2018-01-24,0,0,0,0
3,2018-01-25,0,0,0,0
3,2018-01-26,2,113.884084167,0,0
3,2018-01-27,0,0,0,0
3,2018-01-28,0,0,0,0
3,2018-01-29,0,0,0,0
3,2018-01-30,0,0,0,0
3,2018-01-31,0,0,0,0
3,2018-02-01,0,0,0,0
3,2018-02-02,0,0,0,0
3,2018-02-03,0,0,0,0
3,2018-02-04,0,0,0,0
3,2018-02-05,0,0,0,0
3,2018-02-06,0,0,0,0
3,2018-02-07,0,0,0,0
3,2018-02-08,0,0,0,0
3,2018-02-09,0,0,0,0
3,2018-02-10,0,0,0,0
3,2018-02-11,0,0,0,0
3,2018-02-12,0,0,0,0
3,2018-02-13,0,0,0,0
3,2018-02-14,0,0,0,0
3,2018-02-15,0,0,0,0
3,2018-02-16,0,0,0,0
3,2018-02-17,0,0,0,0
3,2018-02-18,0,0,0,0
3,2018-02-19,0,0,0,0
3,2018-02-20,0,0,0,0
3,2018-02-21,0,0,0,0
3,2018-02-22,0,0,0,0
3,2018-02-23,0,0,0,0
3,2018-02-24,0,0,0,0
3,2018-02-25,0,0,0,0
3,2018-02-26,0,0,0,0
3,2018-02-27,0,0,0,0
3,2018-02-28,0,0,0,0
3,2018-03-01,0,0,0,0
3,2018-03-02,0,0,0,0
3,2018-03-03,0,0,0,0
3,2018-03-04,1,21.2653596667,0,0
3,2018-03-05,0,0,0,0
3,2018-03-06,0,0,0,0
3,2018-03-07,0,0,0,0
3,2018-03-08,0,0,0,0
3,2018-03-09,0,0,0,0
3,2018-03-10,0,0,0,0
3,2018-03-11,0,0,0,0
3,2018-03-12,0,0,0,0
3,2018-03-13,0,0,0,0
3,2018-03-14,0,0,0,0
3,2018-03-15,0,0,0,0
3,2018-03-16,0,0,0,0
3,2018-03-17,0,0,0,0
3,2018-03-18,0,0,0,0
3,2018-03-19,0,0,0,0
3,2018-03-20,0,0,0,0
3,2018-03-21,0,0,0,0
3,2018-03-22,0,0,0,0
3,2018-03-23,0,0,0,0
3,2018-03-24,0,0,0,0
3,2018-03-25,0,0,0,0
3,2018-03-26,0,0,0,0
3,2018-03-27,0,0,0,0
3,2018-03-28,0,0,0,0
3,2018-03-29,1,19.8723018333,0,0
3,2018-03-30,0,0,0,0
3,2018-03-31,1,14.5745931667,0,0
3,2018-04-01,0,0,0,0
3,2018-04-02,0,0,0,0
3,2018-04-03,1,12.497801,0,0
3,2018-04-04,1,61.6380656667,0,0
3,2018-04-05,0,0,0,0
3,2018-04-06,0,0,0,0
3,2018-04-07,1,107.8494705,2,0
3,2018-04-08,0,0,0,0
3,2018-04-09,0,0,0,0
3,2018-04-10,0,0,0,0
3,2018-04-11,0,0,0,0
3,2018-04-12,1,3.46887566667,0,0
3,2018-04-13,2,12.9981783333,0,0
3,2018-04-14,0,0,0,0
3,2018-04-15,1,20.6778245,0,0
3,2018-04-16,2,20.0577061667,0,0
3,2018-04-17,0,0,0,0
3,2018-04-18,1,213.309590833,2,0
3,2018-04-19,0,0,0,0
3,2018-04-20,0,0,0,0
3,2018-04-21,0,0,0,0
3,2018-04-22,0,0,0,0
3,2018-04-23,0,0,0,1
3,2018-04-24,0,0,0,0
3,2018-04-25,0,0,0,0
3,2018-04-26,1,165.405060333,1,0
3,2018-04-27,0,0,0,0
3,2018-04-28,0,0,0,0
3,2018-04-29,0,0,0,0
3,2018-04-30,0,0,0,0
3,2018-05-01,0,0,0,0
3,2018-05-02,0,0,0,0
3,2018-05-03,2,108.5555075,2,0
3,2018-05-04,0,0,0,0
3,2018-05-05,0,0,0,0
3,2018-05-06,0,0,0,0
3,2018-05-07,0,0,0,0
3,2018-05-08,0,0,0,0
3,2018-05-09,0,0,0,0
3,2018-05-10,0,0,0,0
3,2018-05-11,0,0,0,0
3,2018-05-12,1,117.263857167,1,0
3,2018-05-13,0,0,0,0
3,2018-05-14,0,0,0,0
3,2018-05-15,0,0,0,0
3,2018-05-16,0,0,0,0
3,2018-05-17,0,0,0,0
3,2018-05-18,0,0,0,0
3,2018-05-19,0,0,0,0
3,2018-05-20,0,0,0,0
3,2018-05-21,0,0,0,0
3,2018-05-22,0,0,0,0
3,2018-05-23,0,0,0,0
3,2018-05-24,0,0,0,0
3,2018-05-25,0,0,0,0
3,2018-05-26,1,22.1031268333,0,0
3,2018-05-27,0,0,0,0
3,2018-05-28,0,0,0,0
3,2018-05-29,0,0,0,0
3,2018-05-30,1,139.669832333,3,0
3,2018-05-31,1,264.7127685,3,0
3,2018-06-01,0,0,0,0
3,2018-06-02,0,0,0,0
3,2018-06-03,0,0,0,0
3,2018-06-04,1,128.480817,2,0
3,2018-06-05,0,0,0,0
3,2018-06-06,0,0,0,0
3,2018-06-07,0,0,0,0
3,2018-06-08,0,0,0,0
3,2018-06-09,0,0,0,0
3,2018-06-10,0,0,0,0
3,2018-06-11,0,0,0,0
3,2018-06-12,0,0,0,0
3,2018-06-13,0,0,0,0
3,2018-06-14,0,0,0,0
3,2018-06-15,0,0,0,0
3,2018-06-16,0,0,0,0
3,2018-06-17,0,0,0,0
3,2018-06-18,0,0,0,0
3,2018-06-19,0,0,0,0
3,2018-06-20,0,0,0,0
3,2018-06-21,1,54.9492991667,0,0
3,2018-06-22,1,132.950478667,1,0
3,2018-06-23,1,29.1729216667,0,0
3,2018-06-24,0,0,0,0
3,2018-06-25,1,80.134017,1,0
3,2018-06-26,0,0,0,0
3,2018-06-27,0,0,0,0
3,2018-06-28,1,133.260718167,3,0
3,2018-06-29,0,0,0,0
3,2018-06-30,1,18.4277468333,0,0
3,2018-07-01,0,0,0,0
3,2018-07-02,0,0,0,0
3,2018-07-03,0,0,0,0
3,2018-07-04,0,0,0,0
3,2018-07-05,0,0,0,0
3,2018-07-06,0,0,0,0
3,2018-07-07,0,0,0,0
3,2018-07-08,0,0,0,0
3,2018-07-09,0,0,0,0
3,2018-07-10,0,0,0,0
3,2018-07-11,0,0,0,0
3,2018-07-12,0,0,0,0
3,2018-07-13,0,0,0,0
3,2018-07-14,0,0,0,0
3,2018-07-15,0,0,0,0
3,2018-07-16,0,0,0,0
3,2018-07-17,0,0,0,0
3,2018-07-18,0,0,0,0
3,2018-07-19,0,0,0,0
3,2018-07-20,0,0,0,0
3,2018-07-21,0,0,0,0
3,2018-07-22,0,0,0,0
3,2018-07-23,0,0,0,0
3,2018-07-24,0,0,0,0
3,2018-07-25,0,0,0,0
3,2018-07-27,0,0,0,0
3,2018-07-28,0,0,0,0
3,2018-07-29,0,0,0,0
3,2018-07-30,0,0,0,0
3,2018-07-31,0,0,0,0
3,2018-08-01,0,0,0,0
3,2018-08-02,0,0,0,0
3,2018-08-03,0,0,0,0
3,2018-08-04,0,0,0,0
3,2018-08-05,0,0,0,0
3,2018-08-06,0,0,0,0
3,2018-08-07,0,0,0,0
3,2018-08-08,0,0,0,0
3,2018-08-09,1,9.34137833333,0,0
3,2018-08-10,0,0,0,0
3,2018-08-11,0,0,0,0
3,2018-08-12,0,0,0,0
3,2018-08-13,0,0,0,0
3,2018-08-14,0,0,0,0
3,2018-08-15,0,0,0,0
3,2018-08-16,0,0,0,0
3,2018-08-17,0,0,0,0
3,2018-08-18,0,0,0,0
3,2018-08-19,0,0,0,0
3,2018-08-20,0,0,0,0
3,2018-08-21,0,0,0,0
3,2018-08-22,0,0,0,0
3,2018-08-23,0,0,0,0
3,2018-08-24,0,0,0,0
3,2018-08-25,0,0,0,0
3,2018-08-26,0,0,0,0
3,2018-08-27,0,0,0,0
4,2018-05-12,0,0,0,0
4,2018-05-13,0,0,0,0
4,2018-05-14,0,0,0,0
4,2018-05-15,1,33.3214046667,0,0
4,2018-05-16,0,0,0,0
4,2018-05-17,0,0,0,0
4,2018-05-18,0,0,0,0
4,2018-05-19,0,0,0,0
4,2018-05-20,0,0,0,0
4,2018-05-21,0,0,0,0
4,2018-05-22,0,0,0,0
4,2018-05-23,0,0,0,0
4,2018-05-24,0,0,0,0
4,2018-05-25,0,0,0,0
4,2018-05-26,0,0,0,0
4,2018-05-27,0,0,0,0
4,2018-05-28,0,0,0,0
4,2018-05-29,0,0,0,0
4,2018-05-30,0,0,0,0
4,2018-05-31,0,0,0,0
4,2018-06-01,0,0,0,0
4,2018-06-02,0,0,0,0
4,2018-06-03,0,0,0,0
4,2018-06-04,0,0,0,0
4,2018-06-05,0,0,0,0
4,2018-06-06,0,0,0,0
4,2018-06-07,0,0,0,0
4,2018-06-08,1,13.1344566667,0,0
4,2018-06-09,2,92.5635481667,1,0
4,2018-06-10,1,179.3150025,2,0
4,2018-06-11,1,134.7605515,1,0
4,2018-06-12,1,71.1795751667,0,0
4,2018-06-13,1,113.3559705,1,0
4,2018-06-14,1,221.1220845,1,0
4,2018-06-15,1,117.896122667,0,0
4,2018-06-16,1,93.9975456667,0,0
4,2018-06-17,1,203.667152167,2,0
4,2018-06-18,0,0,0,0
4,2018-06-19,1,37.2316026667,0,0
4,2018-06-20,1,7.60884233333,0,0
4,2018-06-21,0,0,0,0
4,2018-06-22,2,39.0092428333,0,0
4,2018-06-23,0,0,0,0
4,2018-06-24,1,6.26403533333,0,0
4,2018-06-25,0,0,0,0
4,2018-06-26,0,0,0,0
4,2018-06-27,0,0,0,0
4,2018-06-28,0,0,0,0
4,2018-06-29,0,0,0,0
4,2018-06-30,2,69.209339,0,0
4,2018-07-01,1,24.1303601667,0,0
